Name,Party,State,District,Incumbent,Winner,Raised,Spent
Hillary O,D,OH,14,No,No,"$579,877","$574,646"
Steve Stivers,R,OH,15,Yes,Yes,"$3,004,799","$2,293,101"
Joel Newby,D,OH,15,No,No,"$55,797","$55,797"
Anthony Gonzalez,R,OH,16,Yes,Yes,"$2,338,195","$1,839,807"
Aaron Godfrey,D,OH,16,No,No,"$60,294","$60,430"
Kevin Hern,R,OK,01,Yes,Yes,"$1,094,104","$830,366"
Kojo Asamoa,D,OK,01,No,No,"$157,355","$173,928"
Markwayne Mullin,R,OK,02,Yes,Yes,"$1,660,206","$1,077,939"
Danyell Lanier,D,OK,02,No,No,"$41,730","$41,722"
Frank D,R,OK,03,Yes,Yes,"$872,749","$1,036,145"
Tom Cole,R,OK,04,Yes,Yes,"$1,812,530","$1,753,697"
Mary Brannon,D,OK,04,No,No,"-$2,084","$1,599"
Kendra Horn,D,OK,05,Yes,No,"$5,949,800","$5,946,195"
Stephanie Bice,R,OK,05,No,Yes,"$3,720,520","$3,508,929"
Suzanne Bonamici,D,OR,01,Yes,Yes,"$959,223","$864,627"
Chris Christensen,R,OR,01,No,No,$144,$672
Cliff Bentz,R,OR,02,No,Yes,"$1,450,780","$1,361,727"
Alex Spenser,D,OR,02,No,No,"$20,640","$5,089"
Earl Blumenauer,D,OR,03,Yes,Yes,"$1,813,365","$1,948,453"
Joanna Harbour,R,OR,03,No,No,"$17,681","$14,502"
Peter DeFazio,D,OR,04,Yes,Yes,"$5,182,843","$5,781,074"
Alek Skarlatos,R,OR,04,No,No,"$5,454,621","$5,331,264"
Kurt Schrader,D,OR,05,Yes,Yes,"$2,018,692","$1,922,073"
Amy Ryan,R,OR,05,No,No,"$231,624","$221,041"
Brian Fitzpatrick,R,PA,01,Yes,Yes,"$4,203,825","$4,272,135"
Christina Finello,D,PA,01,No,No,"$2,336,814","$2,329,748"
Brendan Boyle,D,PA,02,Yes,Yes,"$1,556,650","$756,317"
Dwight Evans,D,PA,03,Yes,Yes,"$942,386","$781,265"
Madeleine Dean,D,PA,04,Yes,Yes,"$1,435,995","$1,005,928"
Kathy Barnette,R,PA,04,No,No,"$1,000,389","$884,640"
